Agrupacions censals (a 01-01-2024)
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=81
Nivell;Codi;Nom;Tipus AC;Codi comarca;
Agrupació censal;431634004;Vendrell 4 (Nucli Urbà Nord i Exterior Nord-oest), el;10;12;
Municipi;431634;Vendrell, el;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;02003; ;;;
Agrupació censal;810120001;Baix Penedès Oest (la Bisbal del Penedès);31;12;
Municipi;430022;Albinyana;;;
Secció censal;01001; ;;;
Municipi;430287;Bisbal del Penedès, la;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;430304;Bonastre;;;
Secció censal;01001; ;;;
Municipi;430799;Masllorenç;;;
Secció censal;01001; ;;;
Municipi;430901;Montmell, el;;;
Secció censal;01001; ;;;
Agrupació censal;810120002;Baix Penedès Nord-est (Banyeres del Penedès);31;12;
Municipi;430206;Banyeres del Penedès;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;430748;Llorenç del Penedès;;;
Secció censal;01001; ;;;
Municipi;431378;Sant Jaume dels Domenys;;;
Secció censal;01001; ;;;
Agrupació censal;810120003;Baix Penedès Centre-est (l'Arboç);31;12;
Municipi;430167;Arboç, l';;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Municipi;430249;Bellvei;;;
Secció censal;01001; ;;;
Municipi;431401;Santa Oliva;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Agrupació censal;080155001;Badalona 1 (Centre);10;13;
Municipi;080155;Badalona;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Secció censal;01005; ;;;
Secció censal;01007; ;;;
Agrupació censal;080155002;Badalona 2 (Coll i Pujol - Dalt la Vila);10;13;
Municipi;080155;Badalona;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;02003; ;;;
Secció censal;02004; ;;;
Secció censal;02008; ;;;
Agrupació censal;080155003;Badalona 3 (Raval - Can Claris);10;13;
Municipi;080155;Badalona;;;
Secció censal;07002; ;;;
Secció censal;07003; ;;;
Secció censal;07004; ;;;
Secció censal;07006; ;;;
Secció censal;07022; ;;;
Secció censal;07023; ;;;
Secció censal;07024; ;;;
Agrupació censal;080155004;Badalona 4 (Progrés - sector Plaça de Pep Ventura);10;13;
Municipi;080155;Badalona;;;
Secció censal;03003; ;;;
Secció censal;03008; ;;;
Secció censal;03009; ;;;
Secció censal;03011; ;;;
Agrupació censal;080155005;Badalona 5 (Progrés - sector Pont del Petroli);10;13;
Municipi;080155;Badalona;;;
Secció censal;03004; ;;;
Secció censal;03005; ;;;
Secció censal;03006; ;;;
Secció censal;03007; ;;;
Secció censal;03013; ;;;
Secció censal;03014; ;;;
Agrupació censal;080155006;Badalona 6 (Gorg - Congrés);10;13;
Municipi;080155;Badalona;;;
Secció censal;03001; ;;;
Secció censal;03010; ;;;
Secció censal;03015; ;;;
Secció censal;07021; ;;;
Secció censal;09009; ;;;
Secció censal;09011; ;;;
Secció censal;09012; ;;;
Agrupació censal;080155007;Badalona 7 (Sant Roc Sud-est - la Mora - el Remei);10;13;
Municipi;080155;Badalona;;;
Secció censal;09003; ;;;
Secció censal;09030; ;;;
Secció censal;09042; ;;;
Agrupació censal;080155008;Badalona 8 (Sant Roc Est - sector Plaça Roja);10;13;
Municipi;080155;Badalona;;;
Secció censal;09006; ;;;
Secció censal;09008; ;;;
Secció censal;09010; ;;;
Agrupació censal;080155009;Badalona 9 (Sant Roc Oest - sector Plaça de Camarón de la Isla);10;13;
Municipi;080155;Badalona;;;
Secció censal;09002; ;;;
Secció censal;09004; ;;;
Secció censal;09005; ;;;
Agrupació censal;080155010;Badalona 10 (Artigas);10;13;
Municipi;080155;Badalona;;;
Secció censal;09001; ;;;
Secció censal;09038; ;;;
Secció censal;09059; ;;;
Agrupació censal;080155011;Badalona 11 (Sant Mori de Llefià - sector Carrer de Guasch);10;13;
Municipi;080155;Badalona;;;
Secció censal;09019; ;;;
Secció censal;09020; ;;;
Secció censal;09034; ;;;
Secció censal;09049; ;;;
Secció censal;09057; ;;;
Secció censal;09058; ;;;
Agrupació censal;080155012;Badalona 12 (Sant Mori de Llefià - sector Carretera Antiga de València);10;13;
Municipi;080155;Badalona;;;
Secció censal;09013; ;;;
Secció censal;09021; ;;;
Secció censal;09023; ;;;
Secció censal;09024; ;;;
Secció censal;09035; ;;;
Secció censal;09036; ;;;
Secció censal;09043; ;;;
Secció censal;09044; ;;;
Secció censal;09052; ;;;
Agrupació censal;080155013;Badalona 13 (Sant Antoni de Llefià);10;13;
Municipi;080155;Badalona;;;
Secció censal;09014; ;;;
Secció censal;09015; ;;;
Secció censal;09018; ;;;
Secció censal;09022; ;;;
Secció censal;09025; ;;;
Secció censal;09026; ;;;
Secció censal;09027; ;;;
Secció censal;09033; ;;;
Secció censal;09053; ;;;
Agrupació censal;080155014;Badalona 14 (Sant Joan de Llefià);10;13;
Municipi;080155;Badalona;;;
Secció censal;09016; ;;;
Secció censal;09017; ;;;
Secció censal;09028; ;;;
Secció censal;09031; ;;;
Secció censal;09032; ;;;
Secció censal;09047; ;;;
Secció censal;09054; ;;;
Agrupació censal;080155015;Badalona 15 (la Salut Nord - sector Grup Verge de la Salut);10;13;
Municipi;080155;Badalona;;;
Secció censal;07009; ;;;
Secció censal;07017; ;;;
Secció censal;07020; ;;;
Agrupació censal;080155016;Badalona 16 (la Salut Centre);10;13;
Municipi;080155;Badalona;;;
Secció censal;07007; ;;;
Secció censal;07008; ;;;
Secció censal;07013; ;;;
Secció censal;07028; ;;;
Agrupació censal;080155017;Badalona 17 (la Salut Sud - sector Mercat de la Salut);10;13;
Municipi;080155;Badalona;;;
Secció censal;07001; ;;;
Secció censal;07005; ;;;
Secció censal;09037; ;;;
Secció censal;09045; ;;;
Agrupació censal;080155018;Badalona 18 (Sistrells);10;13;
Municipi;080155;Badalona;;;
Secció censal;07010; ;;;
Secció censal;07011; ;;;
Secció censal;07014; ;;;
Agrupació censal;080155019;Badalona 19 (la Pau);10;13;
Municipi;080155;Badalona;;;
Secció censal;07015; ;;;
Secció censal;08001; ;;;
Secció censal;08004; ;;;
Agrupació censal;080155020;Badalona 20 (Puigfred);10;13;
Municipi;080155;Badalona;;;
Secció censal;08002; ;;;
Secció censal;08003; ;;;
Secció censal;08008; ;;;
Agrupació censal;080155021;Badalona 21 (Montigalà);10;13;
Municipi;080155;Badalona;;;
Secció censal;04001; ;;;
Secció censal;08012; ;;;
Secció censal;08014; ;;;
Agrupació censal;080155022;Badalona 22 (Lloreda);10;13;
Municipi;080155;Badalona;;;
Secció censal;07031; ;;;
Secció censal;08005; ;;;
Secció censal;08007; ;;;
Secció censal;08013; ;;;
Agrupació censal;080155023;Badalona 23 (Nova Lloreda);10;13;
Municipi;080155;Badalona;;;
Secció censal;07018; ;;;
Secció censal;07029; ;;;
Secció censal;07030; ;;;
Secció censal;08006; ;;;
Secció censal;08009; ;;;
Secció censal;08011; ;;;
Agrupació censal;080155024;Badalona 24 (Sant Crist de Can Cabanyes);10;13;
Municipi;080155;Badalona;;;
Secció censal;02005; ;;;
Secció censal;02007; ;;;
Secció censal;02009; ;;;
Secció censal;02010; ;;;
Secció censal;02011; ;;;
Secció censal;02012; ;;;
Secció censal;02013; ;;;
Secció censal;02015; ;;;
Agrupació censal;080155025;Badalona 25 (Bufalà Oest - sector Can Barriga);10;13;
Municipi;080155;Badalona;;;
Secció censal;04014; ;;;
Secció censal;04015; ;;;
Secció censal;04016; ;;;
Secció censal;04017; ;;;
Agrupació censal;080155026;Badalona 26 (Bufalà Nord - Bonavista);10;13;
Municipi;080155;Badalona;;;
Secció censal;04004; ;;;
Secció censal;04006; ;;;
Secció censal;06001; ;;;
Agrupació censal;080155027;Badalona 27 (Bufalà Sud - sector Can Boscà);10;13;
Municipi;080155;Badalona;;;
Secció censal;04002; ;;;
Secció censal;04005; ;;;
Secció censal;04008; ;;;
Secció censal;04010; ;;;
Secció censal;04012; ;;;
Agrupació censal;080155028;Badalona 28 (Morera);10;13;
Municipi;080155;Badalona;;;
Secció censal;04003; ;;;
Secció censal;04007; ;;;
Secció censal;04009; ;;;
Secció censal;04011; ;;;
Secció censal;04013; ;;;
Agrupació censal;080155029;Badalona 29 (Canyet - Mas Ram - Pomar de Dalt - Pomar);10;13;
Municipi;080155;Badalona;;;
Secció censal;06002; ;;;
Secció censal;06003; ;;;
Secció censal;06004; ;;;
Secció censal;06005; ;;;
Secció censal;06006; ;;;
Agrupació censal;080155030;Badalona 30 (Casagemes - Canyadó - Manresà - les Guixeres);10;13;
Municipi;080155;Badalona;;;
Secció censal;05001; ;;;
Secció censal;05002; ;;;
Secció censal;05003; ;;;
Secció censal;05004; ;;;
Secció censal;05005; ;;;
Secció censal;05006; ;;;
Secció censal;05007; ;;;
Secció censal;05008; ;;;
Agrupació censal;080193001;Barcelona 1 (el Liceu i les Drassanes);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01001; ;;;
Secció censal;01002; ;;;
Secció censal;01005; ;;;
Secció censal;01006; ;;;
Secció censal;01007; ;;;
Agrupació censal;080193002;Barcelona 2 (Sant Pau);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01003; ;;;
Secció censal;01004; ;;;
Agrupació censal;080193003;Barcelona 3 (la Riereta);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01008; ;;;
Secció censal;01009; ;;;
Secció censal;01010; ;;;
Agrupació censal;080193004;Barcelona 4 (el Pedró);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01011; ;;;
Secció censal;01012; ;;;
Secció censal;01013; ;;;
Agrupació censal;080193005;Barcelona 5 (Ponent);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01014; ;;;
Secció censal;01015; ;;;
Secció censal;01016; ;;;
Secció censal;01017; ;;;
Agrupació censal;080193006;Barcelona 6 (Tallers i els Àngels);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01018; ;;;
Secció censal;01019; ;;;
Secció censal;01020; ;;;
Secció censal;01021; ;;;
Agrupació censal;080193007;Barcelona 7 (Santa Anna, el Pi i la Plaça Reial);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01022; ;;;
Secció censal;01023; ;;;
Secció censal;01028; ;;;
Secció censal;01029; ;;;
Agrupació censal;080193008;Barcelona 8 (la Ciutat Romana i la Mercè);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01025; ;;;
Secció censal;01026; ;;;
Secció censal;01027; ;;;
Secció censal;01030; ;;;
Secció censal;01031; ;;;
Agrupació censal;080193009;Barcelona 9 (l'Escullera i l'Hospital del Mar);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01032; ;;;
Secció censal;01033; ;;;
Secció censal;01034; ;;;
Secció censal;01035; ;;;
Secció censal;01036; ;;;
Agrupació censal;080193010;Barcelona 10 (Sant Miquel del Port);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01037; ;;;
Secció censal;01038; ;;;
Secció censal;01039; ;;;
Secció censal;01040; ;;;
Secció censal;01041; ;;;
Secció censal;01042; ;;;
Agrupació censal;080193011;Barcelona 11 (la Ribera);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01043; ;;;
Secció censal;01044; ;;;
Secció censal;01045; ;;;
Secció censal;01046; ;;;
Agrupació censal;080193012;Barcelona 12 (Santa Caterina);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01047; ;;;
Secció censal;01048; ;;;
Secció censal;01049; ;;;
Agrupació censal;080193013;Barcelona 13 (Sant Pere);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01050; ;;;
Secció censal;01051; ;;;
Secció censal;01052; ;;;
Agrupació censal;080193014;Barcelona 14 (el Portal Nou);10;13;
Municipi;080193;Barcelona;;;
Secció censal;01053; ;;;
Secció censal;01054; ;;;
Secció censal;01055; ;;;
Agrupació censal;080193015;Barcelona 15 (el Fort Pienc);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02001; ;;;
Secció censal;02002; ;;;
Secció censal;02003; ;;;
Secció censal;02004; ;;;
Secció censal;02005; ;;;
Secció censal;02006; ;;;
Secció censal;02007; ;;;
Secció censal;02008; ;;;
Secció censal;02009; ;;;
Agrupació censal;080193016;Barcelona 16 (els Encants, l'Auditori i el Teatre);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02010; ;;;
Secció censal;02011; ;;;
Secció censal;02012; ;;;
Secció censal;02013; ;;;
Agrupació censal;080193017;Barcelona 17 (la Monumental);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02014; ;;;
Secció censal;02015; ;;;
Secció censal;02016; ;;;
Secció censal;02017; ;;;
Secció censal;02018; ;;;
Secció censal;02019; ;;;
Secció censal;02020; ;;;
Agrupació censal;080193018;Barcelona 18 (els Enamorats);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02021; ;;;
Secció censal;02022; ;;;
Secció censal;02023; ;;;
Secció censal;02024; ;;;
Agrupació censal;080193019;Barcelona 19 (el Poblet);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02025; ;;;
Secció censal;02026; ;;;
Secció censal;02027; ;;;
Secció censal;02028; ;;;
Secció censal;02029; ;;;
Secció censal;02030; ;;;
Secció censal;02031; ;;;
Secció censal;02032; ;;;
Agrupació censal;080193020;Barcelona 20 (la Damm);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02033; ;;;
Secció censal;02034; ;;;
Secció censal;02035; ;;;
Secció censal;02036; ;;;
Secció censal;02037; ;;;
Secció censal;02038; ;;;
Secció censal;02039; ;;;
Secció censal;02040; ;;;
Agrupació censal;080193021;Barcelona 21 (els Jardins de la Indústria);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02041; ;;;
Secció censal;02042; ;;;
Secció censal;02043; ;;;
Secció censal;02044; ;;;
Secció censal;02045; ;;;
Secció censal;02046; ;;;
Secció censal;02047; ;;;
Secció censal;02048; ;;;
Agrupació censal;080193022;Barcelona 22 (la Sagrada Família);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02049; ;;;
Secció censal;02050; ;;;
Secció censal;02051; ;;;
Secció censal;02052; ;;;
Secció censal;02053; ;;;
Secció censal;02054; ;;;
Agrupació censal;080193023;Barcelona 23 (Verdaguer);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02055; ;;;
Secció censal;02056; ;;;
Secció censal;02057; ;;;
Secció censal;02058; ;;;
Secció censal;02059; ;;;
Secció censal;02060; ;;;
Agrupació censal;080193024;Barcelona 24 (la Concepció);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02061; ;;;
Secció censal;02062; ;;;
Secció censal;02063; ;;;
Secció censal;02064; ;;;
Secció censal;02065; ;;;
Agrupació censal;080193025;Barcelona 25 (el Carlit);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02066; ;;;
Secció censal;02067; ;;;
Secció censal;02068; ;;;
Secció censal;02069; ;;;
Agrupació censal;080193026;Barcelona 26 (Catalunya i els Dominics);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02073; ;;;
Secció censal;02074; ;;;
Secció censal;02075; ;;;
Secció censal;02076; ;;;
Secció censal;02077; ;;;
Agrupació censal;080193027;Barcelona 27 (el Quadrat d'Or i la Torre de les Aigües);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02070; ;;;
Secció censal;02071; ;;;
Secció censal;02072; ;;;
Secció censal;02078; ;;;
Secció censal;02079; ;;;
Agrupació censal;080193028;Barcelona 28 (els Camps Elisis i el Cinc d'Oros);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02080; ;;;
Secció censal;02081; ;;;
Secció censal;02082; ;;;
Secció censal;02083; ;;;
Agrupació censal;080193029;Barcelona 29 (Sant Miquel);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02084; ;;;
Secció censal;02085; ;;;
Secció censal;02086; ;;;
Secció censal;02087; ;;;
Agrupació censal;080193030;Barcelona 30 (Letamendi i la Universitat);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02088; ;;;
Secció censal;02089; ;;;
Secció censal;02090; ;;;
Secció censal;02091; ;;;
Secció censal;02092; ;;;
Agrupació censal;080193031;Barcelona 31 (Sant Josep Oriol);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02093; ;;;
Secció censal;02094; ;;;
Secció censal;02095; ;;;
Secció censal;02096; ;;;
Secció censal;02097; ;;;
Agrupació censal;080193032;Barcelona 32 (el Ninot);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02098; ;;;
Secció censal;02099; ;;;
Secció censal;02100; ;;;
Secció censal;02101; ;;;
Agrupació censal;080193033;Barcelona 33 (el Clínic);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02102; ;;;
Secció censal;02103; ;;;
Secció censal;02104; ;;;
Secció censal;02105; ;;;
Agrupació censal;080193034;Barcelona 34 (el Pilar);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02106; ;;;
Secció censal;02107; ;;;
Secció censal;02108; ;;;
Secció censal;02109; ;;;
Agrupació censal;080193035;Barcelona 35 (l'Escola Industrial);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02110; ;;;
Secció censal;02111; ;;;
Secció censal;02112; ;;;
Secció censal;02113; ;;;
Secció censal;02114; ;;;
Agrupació censal;080193036;Barcelona 36 (les Editorials);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02115; ;;;
Secció censal;02116; ;;;
Secció censal;02117; ;;;
Secció censal;02118; ;;;
Secció censal;02119; ;;;
Secció censal;02120; ;;;
Secció censal;02121; ;;;
Secció censal;02122; ;;;
Secció censal;02123; ;;;
Agrupació censal;080193037;Barcelona 37 (la Model);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02124; ;;;
Secció censal;02125; ;;;
Secció censal;02126; ;;;
Secció censal;02127; ;;;
Secció censal;02128; ;;;
Secció censal;02129; ;;;
Agrupació censal;080193038;Barcelona 38 (Sant Llorenç);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02130; ;;;
Secció censal;02131; ;;;
Secció censal;02132; ;;;
Secció censal;02133; ;;;
Secció censal;02134; ;;;
Secció censal;02135; ;;;
Secció censal;02136; ;;;
Agrupació censal;080193039;Barcelona 39 (els Llorers);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02137; ;;;
Secció censal;02138; ;;;
Secció censal;02139; ;;;
Secció censal;02140; ;;;
Secció censal;02141; ;;;
Agrupació censal;080193040;Barcelona 40 (la Casa Golferics);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02142; ;;;
Secció censal;02143; ;;;
Secció censal;02144; ;;;
Secció censal;02145; ;;;
Agrupació censal;080193041;Barcelona 41 (l'Escorxador);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02146; ;;;
Secció censal;02147; ;;;
Secció censal;02148; ;;;
Secció censal;02149; ;;;
Agrupació censal;080193042;Barcelona 42 (Mistral);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02150; ;;;
Secció censal;02151; ;;;
Secció censal;02152; ;;;
Secció censal;02153; ;;;
Secció censal;02154; ;;;
Secció censal;02155; ;;;
Secció censal;02156; ;;;
Secció censal;02157; ;;;
Agrupació censal;080193043;Barcelona 43 (els Salesians);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02158; ;;;
Secció censal;02159; ;;;
Secció censal;02160; ;;;
Secció censal;02161; ;;;
Secció censal;02162; ;;;
Agrupació censal;080193044;Barcelona 44 (el Price);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02163; ;;;
Secció censal;02164; ;;;
Secció censal;02165; ;;;
Agrupació censal;080193045;Barcelona 45 (el Mercat de Sant Antoni);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02166; ;;;
Secció censal;02167; ;;;
Secció censal;02168; ;;;
Agrupació censal;080193046;Barcelona 46 (els Tres Tombs);10;13;
Municipi;080193;Barcelona;;;
Secció censal;02169; ;;;
Secció censal;02170; ;;;
Secció censal;02171; ;;;
Secció censal;02172; ;;;
Secció censal;02173; ;;;
Agrupació censal;080193047;Barcelona 47 (la França Xica);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03001; ;;;
Secció censal;03002; ;;;
Secció censal;03003; ;;;
Secció censal;03004; ;;;
Secció censal;03005; ;;;
Secció censal;03006; ;;;
Secció censal;03007; ;;;
Secció censal;03008; ;;;
Secció censal;03009; ;;;
Agrupació censal;080193048;Barcelona 48 (Santa Madrona, la Satàlia i Montjuïc);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03010; ;;;
Secció censal;03011; ;;;
Secció censal;03012; ;;;
Secció censal;03013; ;;;
Secció censal;03014; ;;;
Secció censal;03015; ;;;
Secció censal;03016; ;;;
Secció censal;03017; ;;;
Secció censal;03023; ;;;
Secció censal;03024; ;;;
Agrupació censal;080193049;Barcelona 49 (les Hortes de Sant Bertran);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03018; ;;;
Secció censal;03019; ;;;
Secció censal;03020; ;;;
Secció censal;03021; ;;;
Secció censal;03022; ;;;
Agrupació censal;080193050;Barcelona 50 (Sant Cristòfol i la Marina del Prat Vermell);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03025; ;;;
Secció censal;03026; ;;;
Secció censal;03027; ;;;
Secció censal;03028; ;;;
Secció censal;03029; ;;;
Secció censal;03030; ;;;
Agrupació censal;080193051;Barcelona 51 (la Mare de Déu de Port, Can Clos i el Polvorí);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03031; ;;;
Secció censal;03032; ;;;
Secció censal;03033; ;;;
Secció censal;03034; ;;;
Secció censal;03038; ;;;
Secció censal;03039; ;;;
Secció censal;03211; ;;;
Agrupació censal;080193052;Barcelona 52 (Can Sabater);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03035; ;;;
Secció censal;03036; ;;;
Secció censal;03037; ;;;
Secció censal;03212; ;;;
Secció censal;03213; ;;;
Agrupació censal;080193053;Barcelona 53 (la Font de la Guatlla);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03040; ;;;
Secció censal;03041; ;;;
Secció censal;03042; ;;;
Secció censal;03043; ;;;
Secció censal;03044; ;;;
Secció censal;03045; ;;;
Secció censal;03046; ;;;
Agrupació censal;080193054;Barcelona 54 (l'Alcaldia d'Hostafrancs);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03047; ;;;
Secció censal;03048; ;;;
Secció censal;03049; ;;;
Secció censal;03050; ;;;
Agrupació censal;080193055;Barcelona 55 (l'Àngel Custodi);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03051; ;;;
Secció censal;03052; ;;;
Secció censal;03053; ;;;
Secció censal;03054; ;;;
Secció censal;03055; ;;;
Secció censal;03056; ;;;
Agrupació censal;080193056;Barcelona 56 (Sant Medir);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03057; ;;;
Secció censal;03058; ;;;
Secció censal;03059; ;;;
Secció censal;03060; ;;;
Secció censal;03061; ;;;
Agrupació censal;080193057;Barcelona 57 (Can Batlló);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03062; ;;;
Secció censal;03063; ;;;
Secció censal;03064; ;;;
Secció censal;03065; ;;;
Secció censal;03066; ;;;
Secció censal;03067; ;;;
Secció censal;03068; ;;;
Secció censal;03069; ;;;
Agrupació censal;080193058;Barcelona 58 (l'Olivereta);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03070; ;;;
Secció censal;03071; ;;;
Secció censal;03072; ;;;
Secció censal;03073; ;;;
Secció censal;03074; ;;;
Secció censal;03075; ;;;
Secció censal;03076; ;;;
Secció censal;03077; ;;;
Secció censal;03078; ;;;
Secció censal;03079; ;;;
Secció censal;03080; ;;;
Agrupació censal;080193059;Barcelona 59 (Badal);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03081; ;;;
Secció censal;03082; ;;;
Secció censal;03083; ;;;
Secció censal;03084; ;;;
Secció censal;03085; ;;;
Agrupació censal;080193060;Barcelona 60 (Can Mantega);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03086; ;;;
Secció censal;03087; ;;;
Secció censal;03088; ;;;
Secció censal;03089; ;;;
Secció censal;03090; ;;;
Secció censal;03091; ;;;
Secció censal;03092; ;;;
Secció censal;03093; ;;;
Secció censal;03094; ;;;
Agrupació censal;080193061;Barcelona 61 (el Mercat Nou);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03095; ;;;
Secció censal;03096; ;;;
Secció censal;03097; ;;;
Secció censal;03098; ;;;
Secció censal;03099; ;;;
Secció censal;03100; ;;;
Agrupació censal;080193062;Barcelona 62 (Santa Maria de Sants);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03101; ;;;
Secció censal;03102; ;;;
Secció censal;03103; ;;;
Secció censal;03104; ;;;
Agrupació censal;080193063;Barcelona 63 (l'Olivera Rodona i l'Espanya Industrial);10;13;
Municipi;080193;Barcelona;;;
Secció censal;03105; ;;;
Secció censal;03106; ;;;
Secció censal;03107; ;;;
Secció censal;03108; ;;;
Secció censal;03109; ;;;
Secció censal;03110; ;;;
Secció censal;03111; ;;;
Secció censal;03112; ;;;
Secció censal;03113; ;;;
Secció censal;03114; ;;;
Agrupació censal;080193064;Barcelona 64 (Can Novell - Plaça del Centre);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04001; ;;;
Secció censal;04002; ;;;
Secció censal;04003; ;;;
Secció censal;04004; ;;;
Secció censal;04005; ;;;
Secció censal;04006; ;;;
Secció censal;04007; ;;;
Secció censal;04008; ;;;
Secció censal;04009; ;;;
Agrupació censal;080193065;Barcelona 65 (les Infantes i la Colònia Castells);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04010; ;;;
Secció censal;04011; ;;;
Secció censal;04012; ;;;
Secció censal;04013; ;;;
Secció censal;04014; ;;;
Secció censal;04015; ;;;
Secció censal;04016; ;;;
Agrupació censal;080193066;Barcelona 66 (Loreto i el Camp de la Creu);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04017; ;;;
Secció censal;04018; ;;;
Secció censal;04019; ;;;
Secció censal;04020; ;;;
Secció censal;04021; ;;;
Agrupació censal;080193067;Barcelona 67 (les Corts Noves, Can Rosés, Can Feu i Can Batllori);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04022; ;;;
Secció censal;04023; ;;;
Secció censal;04024; ;;;
Secció censal;04025; ;;;
Secció censal;04026; ;;;
Secció censal;04027; ;;;
Agrupació censal;080193068;Barcelona 68 (les Corts Velles);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04028; ;;;
Secció censal;04029; ;;;
Secció censal;04030; ;;;
Agrupació censal;080193069;Barcelona 69 (el Sòl de Baix);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04031; ;;;
Secció censal;04032; ;;;
Secció censal;04033; ;;;
Secció censal;04034; ;;;
Secció censal;04035; ;;;
Agrupació censal;080193070;Barcelona 70 (Sant Ramon i la Torre Melina);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04043; ;;;
Secció censal;04044; ;;;
Secció censal;04045; ;;;
Secció censal;04046; ;;;
Secció censal;04047; ;;;
Agrupació censal;080193071;Barcelona 71 (Can Bacardí, Collblanc, la Maternitat i Bederrida);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04036; ;;;
Secció censal;04037; ;;;
Secció censal;04038; ;;;
Secció censal;04039; ;;;
Secció censal;04040; ;;;
Secció censal;04041; ;;;
Secció censal;04042; ;;;
Secció censal;04048; ;;;
Secció censal;04049; ;;;
Secció censal;04084; ;;;
Agrupació censal;080193072;Barcelona 72 (la Font dels Ocellets i Santa Gemma);10;13;
Municipi;080193;Barcelona;;;
Secció censal;04050; ;;;
Secció censal;04051; ;;;
Secció censal;04052; ;;;
Agrupació censal;080193073;Barcelona 73 (Pedralbes, la Mercè i el Palau Reial);10;13;
